Water Year,prev_JAS_ONI,prev_sep_pna
1981,0,-0.05
1982,-0.2,0.15
1983,1.1,1.05
1984,-0.1,-1.59
1985,-0.2,0.03
1986,-0.5,-0.71
1987,0.4,-0.29
1988,1.7,-3.07
1989,-1.1,-1.11
1990,-0.3,0.54
1991,0.4,-0.5
1992,0.6,1.43
1993,0.1,-1.31
1994,0.3,-1.12
1995,0.4,-2.38
1996,-0.5,1.52
1997,-0.3,-0.28
1998,1.9,0.31
1999,-1.1,0.55
2000,-1.1,0.44
2001,-0.5,-1.4
2002,-0.1,0.1
2003,0.9,0.77
2004,0.2,0.76
2005,0.6,-0.08
2006,-0.1,1.63
2007,0.3,0.42
2008,-0.8,1.88
2009,-0.3,1.12
2010,0.5,1.29
2011,-1.4,1.34
2012,-0.7,-0.42
2013,0.3,-0.42
2014,-0.4,0.54
2015,0,0.99
2016,1.8,-0.92
2017,-0.6,0.18
2018,-0.1,-0.33
2019,0.2,1.44
2020,0.1,2
2021,-0.6,0.75
